action,context,order,states,top1,top3,top5,top10,mean_rank,mrr,draft_phase,order_bucket,dominant_role,acting_team_id,opponent_team_id
ban,team,,7,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.7142857142857143,5.857142857142857,0.44302364302364305,,,,10108713.0,
ban,team,,35,0.34285714285714286,0.4857142857142857,0.6285714285714286,0.7428571428571429,7.114285714285714,0.46250965809789335,,,,10108947.0,
ban,team,,70,0.32857142857142857,0.6428571428571429,0.7285714285714285,0.8571428571428571,6.357142857142857,0.5145015864785115,,,,2163.0,
ban,team,,35,0.05714285714285714,0.2,0.3142857142857143,0.6857142857142857,9.657142857142857,0.2121547728973955,,,,2576071.0,
ban,team,,14,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5714285714285714,12.142857142857142,0.2316744590812914,,,,5014799.0,
ban,team,,14,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.6428571428571429,11.428571428571429,0.29044784580498867,,,,5017210.0,
ban,team,,28,0.17857142857142858,0.5,0.6785714285714286,0.9285714285714286,5.214285714285714,0.4033010640153497,,,,7119388.0,
ban,team,,21,0.0,0.09523809523809523,0.23809523809523808,0.42857142857142855,13.761904761904763,0.13396522509672235,,,,726228.0,
ban,team,,77,0.2987012987012987,0.5844155844155844,0.7272727272727273,0.8961038961038961,4.8311688311688314,0.48537681770819613,,,,8255888.0,
ban,team,,56,0.05357142857142857,0.25,0.4107142857142857,0.6607142857142857,15.125,0.22188579747320344,,,,8261500.0,
ban,team,,35,0.11428571428571428,0.37142857142857144,0.5428571428571428,0.8285714285714286,8.17142857142857,0.3132795614393678,,,,8291895.0,
ban,team,,77,0.14285714285714285,0.35064935064935066,0.4935064935064935,0.7012987012987013,8.493506493506494,0.3124248441369884,,,,9247354.0,
ban,team,,35,0.2,0.3142857142857143,0.4857142857142857,0.6571428571428571,11.6,0.3268968739269491,,,,9255039.0,
ban,team,,35,0.2,0.34285714285714286,0.42857142857142855,0.6,11.028571428571428,0.3291314112901013,,,,9303383.0,
ban,team,,14,0.0,0.35714285714285715,0.42857142857142855,0.7857142857142857,7.571428571428571,0.24945415832115336,,,,9303484.0,
ban,team,,91,0.14285714285714285,0.3626373626373626,0.4835164835164835,0.6373626373626373,14.065934065934066,0.30482920808496716,,,,9338413.0,
ban,team,,14,0.2857142857142857,0.5,0.5,0.6428571428571429,8.0,0.4217063637049022,,,,9351740.0,
ban,team,,91,0.24175824175824176,0.43956043956043955,0.5604395604395604,0.7582417582417582,7.769230769230769,0.3947123379038271,,,,9467224.0,
ban,team,,70,0.21428571428571427,0.38571428571428573,0.4857142857142857,0.7142857142857143,10.457142857142857,0.36195457926082875,,,,9572001.0,
ban,team,,21,0.3333333333333333,0.47619047619047616,0.47619047619047616,0.7142857142857143,13.285714285714286,0.4388377477663192,,,,9600141.0,
ban,team,,7,0.0,0.2857142857142857,0.5714285714285714,0.7142857142857143,7.285714285714286,0.22656641604010025,,,,9885310.0,
ban,team,,14,0.0,0.07142857142857142,0.35714285714285715,0.5,12.928571428571429,0.15321219396849647,,,,9895247.0,
ban,team,,14,0.35714285714285715,0.5,0.7142857142857143,0.7142857142857143,7.928571428571429,0.49038461538461536,,,,9928636.0,
ban,team,,14,0.2857142857142857,0.7142857142857143,0.9285714285714286,0.9285714285714286,3.0714285714285716,0.5467687074829931,,,,9973656.0,
ban,opponent_team,,21,0.19047619047619047,0.42857142857142855,0.5238095238095238,0.7619047619047619,12.476190476190476,0.3496387699261001,,,,,10020555.0
ban,opponent_team,,7,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.7142857142857143,8.857142857142858,0.43432539682539684,,,,,10108713.0
ban,opponent_team,,35,0.3142857142857143,0.6285714285714286,0.6285714285714286,0.7428571428571429,9.942857142857143,0.4896004290332021,,,,,10108947.0
ban,opponent_team,,70,0.2571428571428571,0.4714285714285714,0.6714285714285714,0.8142857142857143,6.428571428571429,0.43491487285129,,,,,2163.0
ban,opponent_team,,35,0.14285714285714285,0.34285714285714286,0.45714285714285713,0.6285714285714286,19.4,0.29102761226881396,,,,,2576071.0
ban,opponent_team,,14,0.21428571428571427,0.2857142857142857,0.5,0.5714285714285714,12.142857142857142,0.31777210884353735,,,,,5014799.0
ban,opponent_team,,14,0.0,0.2857142857142857,0.5,0.7857142857142857,11.357142857142858,0.21022727272727273,,,,,5017210.0
ban,opponent_team,,28,0.17857142857142858,0.32142857142857145,0.42857142857142855,0.7142857142857143,9.642857142857142,0.30526185098377245,,,,,7119388.0
ban,opponent_team,,21,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.6190476190476191,21.238095238095237,0.1674530930639953,,,,,726228.0
ban,opponent_team,,77,0.2727272727272727,0.5454545454545454,0.6753246753246753,0.8831168831168831,6.207792207792208,0.4619604849526532,,,,,8255888.0
