hero_id,hero_name,pos1_prob,pos2_prob,pos3_prob,pos4_prob,pos5_prob,core_prob,support_prob,flex_score,total_role_games,role_source
108,Underlord,0.03969754253308128,0.003780718336483932,0.9527410207939508,0.001890359168241966,0.001890359168241966,0.996219281663516,0.003780718336483932,0.047258979206049156,524,data_inferred
109,Terrorblade,0.8109833971902938,0.001277139208173691,0.1545338441890166,0.0280970625798212,0.005108556832694764,0.9667943805874841,0.033205619412515965,0.18901660280970622,778,data_inferred
110,Phoenix,0.001091703056768559,0.013100436681222707,0.0906113537117904,0.13755458515283842,0.75764192139738,0.10480349344978165,0.8951965065502183,0.24235807860262004,911,data_inferred
111,Oracle,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.08917197452229299,0.89171974522293,0.019108280254777073,0.9808917197452229,0.10828025477707004,152,data_inferred
112,Winter Wyvern,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.9285714285714286,0.2142857142857143,65,data_inferred
113,Arc Warden,0.2,0.6,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.8666666666666667,0.13333333333333333,0.4,10,data_inferred
114,Monkey King,0.3644278606965174,0.5385572139303483,0.022388059701492536,0.06592039800995025,0.008706467661691543,0.9253731343283582,0.0746268656716418,0.4614427860696517,799,data_inferred
119,Dark Willow,0.0012360939431396785,0.0012360939431396785,0.0012360939431396785,0.8776266996291718,0.11866501854140915,0.0037082818294190355,0.996291718170581,0.12237330037082816,804,data_inferred
120,Pangolier,0.004258943781942078,0.5195911413969335,0.4744463373083475,0.0008517887563884157,0.0008517887563884157,0.9982964224872231,0.0017035775127768314,0.4804088586030665,1169,data_inferred
121,Grimstroke,0.004291845493562232,0.012875536480686695,0.004291845493562232,0.5836909871244635,0.3948497854077253,0.02145922746781116,0.9785407725321889,0.41630901287553645,228,data_inferred
123,Hoodwink,0.005342831700801425,0.0008904719501335708,0.0008904719501335708,0.8593054318788959,0.13357079252003562,0.007123775601068567,0.9928762243989315,0.14069456812110415,1118,data_inferred
126,Void Spirit,0.03754266211604096,0.89419795221843,0.025597269624573378,0.03583617747440273,0.006825938566552901,0.9573378839590444,0.04266211604095563,0.10580204778156999,581,data_inferred
128,Snapfire,0.001466275659824047,0.02785923753665689,0.004398826979472141,0.656891495601173,0.3093841642228739,0.03372434017595308,0.966275659824047,0.343108504398827,677,data_inferred
129,Mars,0.01167728237791932,0.025477707006369428,0.9575371549893843,0.0021231422505307855,0.0031847133757961785,0.994692144373673,0.0053078556263269645,0.0424628450106157,937,data_inferred
131,Ringmaster,0.0014104372355430183,0.0014104372355430183,0.0014104372355430183,0.53737658674189,0.45839210155148097,0.004231311706629055,0.995768688293371,0.46262341325810996,704,data_inferred
135,Dawnbreaker,0.04553415061295972,0.0070052539404553416,0.9001751313485113,0.014010507880910683,0.03327495621716287,0.9527145359019265,0.047285464098073555,0.09982486865148865,566,data_inferred
136,Marci,0.22818791946308725,0.0016778523489932886,0.12751677852348994,0.47818791946308725,0.1644295302013423,0.3573825503355705,0.6426174496644296,0.5218120805369127,591,data_inferred
137,Primal Beast,0.001669449081803005,0.333889816360601,0.654424040066778,0.008347245409015025,0.001669449081803005,0.989983305509182,0.01001669449081803,0.345575959933222,594,data_inferred
138,Muerta,0.2611764705882353,0.007058823529411765,0.001176470588235294,0.6576470588235294,0.07294117647058823,0.26941176470588235,0.7305882352941175,0.34235294117647064,845,data_inferred
145,Kez,0.9142857142857143,0.07142857142857142,0.007142857142857143,0.0035714285714285713,0.0035714285714285713,0.9928571428571428,0.007142857142857143,0.08571428571428574,275,data_inferred
155,Largo,0.004032258064516129,0.004032258064516129,0.7016129032258065,0.14516129032258066,0.14516129032258066,0.7096774193548387,0.2903225806451613,0.2983870967741935,243,data_inferred
